date,intercept,train_start,train_end,n_train,liquidity_alpha,size_alpha,signal_2,sentiment_change_alpha,sentiment_exp_decay_alpha,sent_macd_alpha,signal1,signal2,signal3,signal4,signal5,signal6,signal7,signal8,n_nonzero_factors
2016-03-31,0.0009444521096351567,2015-03-31,2016-03-30,3379,0.0,-0.0,0.0009950652020870717,0.0,0.0,0.0,0.0006761113976295854,0.00019214085098824215,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-01,0.0009964408275820436,2015-04-01,2016-03-31,3384,0.0,-0.0,0.0009118870909915181,0.0,0.0,0.0,0.0006655659206525441,0.00020117376176696005,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-04,0.0009554736502056795,2015-04-02,2016-04-01,3381,0.0,-0.0,0.000898747904656817,0.0,0.0,0.0,0.0006614709481441258,0.0002500898917895659,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-05,0.0008946139986212128,2015-04-06,2016-04-04,3384,0.0,-0.0,0.0008283019615773476,0.0,0.0,0.0,0.0006343657389294499,0.00031131648141051753,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-06,0.000912102298944667,2015-04-07,2016-04-05,3386,0.0,-0.0,0.0008052564045261804,0.0,0.0,0.0,0.0006065699550780507,0.0003546152452438266,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-07,0.0008518026694922486,2015-04-08,2016-04-06,3381,0.0,-0.0,0.000832041054819167,0.0,0.0,0.0,0.0006531315122334736,0.0003337200488460643,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-08,0.0008396388247389806,2015-04-09,2016-04-07,3383,0.0,-0.0,0.0008232513820893047,0.0,0.0,0.0,0.0006808667389742181,0.00032158054679403124,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-11,0.0008466640113184257,2015-04-10,2016-04-08,3383,0.0,-0.0,0.0008401122421806106,0.0,0.0,0.0,0.0007077483652413443,0.00033886643512881807,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-12,0.0009020936063707803,2015-04-13,2016-04-11,3382,0.0,-0.0,0.0008206479540099612,0.0,0.0,0.0,0.0007305321330443276,0.00036708855775642043,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-13,0.0009913851501601747,2015-04-14,2016-04-12,3380,0.0,-0.0,0.0008312988618810084,0.0,0.0,0.0,0.000745792432121746,0.00037233097679100234,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-14,0.000984733377308886,2015-04-15,2016-04-13,3373,0.0,-0.0,0.0008343994841240595,0.0,0.0,0.0,0.0007466267824690001,0.0003750548724187036,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-15,0.0009506517097772802,2015-04-16,2016-04-14,3372,0.0,-0.0,0.0008229946508200921,0.0,0.0,0.0,0.000836207645083805,0.00034680408247609495,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-18,0.0009942862592261876,2015-04-17,2016-04-15,3374,-0.0,-0.0,0.000818152891812825,0.0,0.0,0.0,0.0008585067407322874,0.00033211677505727804,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-19,0.0008717283124112634,2015-04-20,2016-04-18,3375,-0.0,-0.0,0.0009542915720976468,0.0,0.0,0.0,0.0008771905747990781,0.00030980673567666047,0.0,0.0,0.0,0.0,-0.0,0.0,3
2016-04-20,0.0009205605793859551,2015-04-21,2016-04-19,3378,-0.0,-0.0,0.0008805652611551979,0.0,0.0,0.0,0.000822617506629022,0.00028120764340091133,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-21,0.0008768082432485235,2015-04-22,2016-04-20,3384,-0.0,-0.0,0.0008757105790327244,0.0,0.0,0.0,0.0008047224828910442,0.0002712793775852988,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-22,0.000804297083067193,2015-04-23,2016-04-21,3383,-0.0,-0.0,0.00093024813978161,0.0,0.0,0.0,0.0008160548985537947,0.0002615637269366392,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-25,0.0006988426406545744,2015-04-24,2016-04-22,3382,-0.0,-0.0,0.0010527916379054752,0.0,0.0,0.0,0.0008520038493205792,0.00022383245378013167,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-04-26,0.0006488923395039999,2015-04-27,2016-04-25,3388,-0.0,-0.0,0.0010849367324324089,0.0,0.0,0.0,0.0007850362077574358,0.00015658066572129268,0.0,0.0,-0.0,0.0,0.0,0.0,3
2016-04-27,0.000623043192255117,2015-04-28,2016-04-26,3390,-0.0,-0.0,0.0011727990408538795,0.0,0.0,0.0,0.0007648389960004193,0.00016059764226775518,0.0,0.0,-0.0,0.0,0.0,0.0,3
2016-04-28,0.0005638056259399566,2015-04-29,2016-04-27,3390,-0.0,-0.0,0.0012226154301670383,0.0,0.0,0.0,0.0007235365310640906,0.00014312770535469268,0.0,0.0,-0.0,0.0,0.0,0.0,3
2016-04-29,0.0006167496534030418,2015-04-30,2016-04-28,3391,-0.0,-0.0,0.001270319297884491,0.0,0.0,0.0,0.0007737887739843347,0.00019895152405115702,0.0,0.0,-0.0,0.0,0.0,0.0,3
2016-05-02,0.0006795178558221186,2015-05-01,2016-04-29,3390,-0.0,-0.0,0.0012870065947725273,0.0,0.0,0.0,0.0007688336993683474,0.00015412296628039535,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-03,0.0006133186196832889,2015-05-04,2016-05-02,3391,-0.0,-0.0,0.001265074526882437,0.0,0.0,0.0,0.0007516252813327862,0.00017267747256950126,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-04,0.000619716248806567,2015-05-05,2016-05-03,3396,-0.0,-0.0,0.0012741599998704913,0.0,0.0,0.0,0.0007257207530299898,0.00016269426284659544,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-05,0.0006027149531194649,2015-05-06,2016-05-04,3394,-0.0,-0.0,0.0012997298028228836,0.0,0.0,0.0,0.0007196758387166481,0.0002444920122089452,0.0,0.0,-0.0,0.0,0.0,0.0,3
2016-05-06,0.0005938431882223303,2015-05-07,2016-05-05,3393,-0.0,-0.0,0.0012818051705253872,0.0,0.0,0.0,0.0006919560517892627,0.00020805085487230317,0.0,0.0,-0.0,0.0,0.0,0.0,3
2016-05-09,0.000572602954451941,2015-05-08,2016-05-06,3384,-0.0,-0.0,0.0013005593146385582,0.0,0.0,0.0,0.0006661766815612935,0.00013897099440586208,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-10,0.0005978467950909866,2015-05-11,2016-05-09,3382,-0.0,-0.0,0.001310487682449961,0.0,0.0,0.0,0.0006686374098099775,0.00016307790485876016,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-11,0.000547669301943792,2015-05-12,2016-05-10,3379,-0.0,-0.0,0.0013423293927626273,0.0,0.0,0.0,0.000651408019481538,0.0001830745887595327,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-12,0.0005261236842667122,2015-05-13,2016-05-11,3378,-0.0,-0.0,0.0013339943024264006,0.0,0.0,0.0,0.000650917792774986,0.00021779602737797657,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-13,0.0005136910079077245,2015-05-14,2016-05-12,3381,-0.0,-0.0,0.0013221221241914139,0.0,0.0,0.0,0.0006651388213619791,0.00012807762321692044,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-16,0.0005541781882492557,2015-05-15,2016-05-13,3379,-0.0,-0.0,0.0012870764474664652,0.0,0.0,0.0,0.0006440666921363057,9.191342038619023e-05,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-17,0.0004968723130858255,2015-05-18,2016-05-16,3379,0.0,-0.0,0.0012625904978539383,0.0,0.0,0.0,0.0006041533065519044,0.0001067363355961485,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-18,0.0005421275026354036,2015-05-19,2016-05-17,3378,0.0,-0.0,0.0012665109171953364,0.0,0.0,0.0,0.0006149231794869808,7.399343340259202e-05,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-19,0.0005546581449462856,2015-05-20,2016-05-18,3381,0.0,-0.0,0.0012747739240995854,0.0,0.0,0.0,0.000643833539897631,7.060491914779476e-05,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-20,0.0006004524784128569,2015-05-21,2016-05-19,3378,0.0,-0.0,0.001253603578895757,0.0,0.0,0.0,0.0006036061203148498,3.251653668125494e-05,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-23,0.0006623436636334751,2015-05-22,2016-05-20,3373,0.0,-0.0,0.0012617227999343204,0.0,0.0,0.0,0.0005740236704532101,7.247560036237353e-05,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-24,0.0007340185699879126,2015-05-26,2016-05-23,3372,0.0,-0.0,0.0012379779197990062,0.0,0.0,0.0,0.0005730335827951337,1.541016120716927e-05,0.0,0.0,0.0,0.0,0.0,0.0,3
2016-05-25,0.0007245559619378218,2015-05-27,2016-05-24,3370,0.0,-0.0,0.001262673747615346,0.0,0.0,0.0,0.0005327440147959602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-05-26,0.0007384320298594785,2015-05-28,2016-05-25,3365,0.0,-0.0,0.0012839061505033678,0.0,0.0,0.0,0.0005203753099696051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-05-27,0.0007767828080395749,2015-05-29,2016-05-26,3358,-0.0,-0.0,0.001311944165237681,0.0,0.0,0.0,0.0005432165851174553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-05-31,0.0007997360052372141,2015-06-01,2016-05-27,3354,-0.0,-0.0,0.0013143027191412666,0.0,0.0,0.0,0.0005033227774918061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-01,0.0008008904589332101,2015-06-02,2016-05-31,3354,-0.0,-0.0,0.0013329876605127832,0.0,0.0,0.0,0.00048267722281330994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-02,0.0008014676103593492,2015-06-03,2016-06-01,3359,-0.0,-0.0,0.0013492088334072637,0.0,0.0,0.0,0.0004639642018018091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-03,0.0008139213991329569,2015-06-04,2016-06-02,3364,-0.0,-0.0,0.0013536630342536949,0.0,0.0,0.0,0.0004887722725591683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-06,0.0008331550578701501,2015-06-05,2016-06-03,3366,-0.0,-0.0,0.0013531853785785674,0.0,0.0,0.0,0.0005096892528933751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-07,0.0008719315901740004,2015-06-08,2016-06-06,3372,-0.0,-0.0,0.0013385156787361374,0.0,0.0,0.0,0.0005276481261637742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-08,0.0008178121090401829,2015-06-09,2016-06-07,3367,-0.0,-0.0,0.0012996888215739786,0.0,0.0,0.0,0.000512667070547035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-09,0.0007114177272968664,2015-06-10,2016-06-08,3365,-0.0,-0.0,0.0012988153174758087,0.0,0.0,0.0,0.0004994472721306205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-10,0.0006654166069697112,2015-06-11,2016-06-09,3361,-0.0,-0.0,0.0013133798475635332,0.0,0.0,0.0,0.0005063054642947238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-13,0.0006830756465258075,2015-06-12,2016-06-10,3362,-0.0,-0.0,0.0013320919316612593,0.0,0.0,0.0,0.0005170374921532486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-14,0.0007106865276230425,2015-06-15,2016-06-13,3368,-0.0,-0.0,0.0013588862532090682,0.0,0.0,0.0,0.0005337219812213917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-15,0.0006778358703077806,2015-06-16,2016-06-14,3373,-0.0,-0.0,0.001360714557328294,0.0,0.0,0.0,0.0005369098940228165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-16,0.0006715382591280551,2015-06-17,2016-06-15,3372,-0.0,-0.0,0.0013646369270398273,0.0,0.0,0.0,0.0005281574192459528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-17,0.0006103546648538296,2015-06-18,2016-06-16,3374,-0.0,-0.0,0.0012961469146568973,0.0,0.0,0.0,0.0004850750847683279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-20,0.000644026687345822,2015-06-19,2016-06-17,3374,-0.0,-0.0,0.0012492469756008435,0.0,0.0,0.0,0.0004962224409067396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-21,0.0006491371024895425,2015-06-22,2016-06-20,3372,-0.0,-0.0,0.0012296668665261292,0.0,0.0,0.0,0.0004956494371077384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2016-06-22,0.0006119147464626622,2015-06-23,2016-06-21,3370,-0.0,-0.0,0.0012366526195921178,0.0,0.0,0.0,0.0005135152303921474,0.0,0.0,0.0,-0.0,0.0,0.0,4.5278821584397095e-05,3
2016-06-23,0.0006967320609691208,2015-06-24,2016-06-22,3369,-0.0,-0.0,0.0012444700188490266,0.0,0.0,0.0,0.00048394480105134325,0.0,0.0,0.0,0.0,0.0,0.0,8.281973443187597e-05,3
2016-06-24,0.0005872369590135562,2015-06-25,2016-06-23,3368,-0.0,-0.0,0.0012081353018122917,0.0,0.0,0.0,0.0005560317091981926,0.0,0.0,0.0,-0.0,0.0,0.0,0.00010533146810755701,3
2016-06-27,0.0006110212244840243,2015-06-26,2016-06-24,3370,-0.0,-0.0,0.001270702768919466,0.0,0.0,0.0,0.000575127581797101,0.0,0.0,0.0,-0.0,0.0,0.0,0.00010428687325967257,3
2016-06-28,0.0007868568333942603,2015-06-29,2016-06-27,3371,-0.0,-0.0,0.0012563775459736221,0.0,0.0,0.0,0.0007387351293278962,0.0,0.0,0.0,-0.0,0.0,0.0,5.809042700833593e-05,3
2016-06-29,0.0008532247374828934,2015-06-30,2016-06-28,3373,-0.0,-0.0,0.001224462949918478,0.0,0.0,0.0,0.0007872795732280351,0.0,0.0,0.0,-0.0,0.0,0.0,5.0206611980076587e-05,3
2016-06-30,0.0008689191870141468,2015-07-01,2016-06-29,3383,-0.0,-0.0,0.0012234719508296653,0.0,0.0,0.0,0.000755034754479631,0.0,0.0,0.0,-0.0,0.0,0.0,6.425402286420892e-05,3
2016-07-01,0.0008494083359901529,2015-07-02,2016-06-30,3392,-0.0,-0.0,0.0012146360591089407,0.0,0.0,0.0,0.0007193532649379171,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2
2016-07-05,0.0008539924671218389,2015-07-06,2016-07-01,3389,-0.0,-0.0,0.0012846480593525628,0.0,0.0,0.0,0.0007883806080083603,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2
2016-07-06,0.0009165252495629413,2015-07-07,2016-07-05,3390,-0.0,-0.0,0.0012877216398319053,0.0,0.0,0.0,0.0007738403889114141,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2
2016-07-07,0.0010214374042762631,2015-07-08,2016-07-06,3385,-0.0,-0.0,0.001249431697860438,0.0,0.0,0.0,0.0007378586097000286,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2
